"feature","coefficient","p_value"
"2563",0.285714285714286,0.500793650793651
"2566",0.261904761904762,0.53640873015873
"2567",-0.166666666666667,0.703323412698413
"2569",0.214285714285714,0.619097222222222
"2574",0,1
"2576",-0.5,0.216170634920635
"2579",-0.19047619047619,0.664583333333333
"2580",0.357142857142857,0.389384920634921
"2583",-0.547619047619048,0.170982142857143
"2586",0.19047619047619,0.664583333333333
"2588",-0.30952380952381,0.461805555555556
"2597",0.523809523809524,0.196626984126984
"2602",-0.428571428571429,0.299206349206349
"2603",-0.166666666666667,0.703323412698413
"2605",0.476190476190476,0.243055555555556
"2606",0.142857142857143,0.75203373015873
"2607",-0.333333333333333,0.427876984126984
"2609",0.0476190476190476,0.934871031746032
"2610",-0.642857142857143,0.0961805555555556
"2611",0.0952380952380952,0.840128968253968
"2615",-0.214285714285714,0.619097222222222
"2617",-0.238095238095238,0.582142857142857
"2619",0.30952380952381,0.461805555555556
"2629",0.166666666666667,0.703323412698413
"2630",0.214285714285714,0.619097222222222
"2631",-0.333333333333333,0.427876984126984
"2637",0.285714285714286,0.500793650793651
"2638",-0.142857142857143,0.75203373015873
"2639",0.619047619047619,0.114980158730159
"2640",0.285714285714286,0.500793650793651
"2642",-0.452380952380952,0.267460317460317
"2643",-0.80952380952381,0.0217757936507936
"2645",0.428571428571429,0.299206349206349
"2646",0.238095238095238,0.582142857142857
"2647",0.428571428571429,0.299206349206349
"2648",0.287430302859182,0.490015485222034
"2652",-0.119047619047619,0.793005952380952
"2658",0.0476190476190476,0.934871031746032
"2666",-0.523809523809524,0.196626984126984
"2668",0.404761904761905,0.326835317460317
"2669",0.214285714285714,0.619097222222222
"2676",0.0952380952380952,0.840128968253968
"2677",0.238095238095238,0.582142857142857
"2680",0,1
"2682",0.428571428571429,0.299206349206349
"2684",0.409158544192486,0.314149427522183
"2685",-0.0311739843194275,0.941586637631995
"2687",-0.5,0.216170634920635
"2689",-0.238095238095238,0.582142857142857
"2693",0.14638501094228,0.729423924959387
"2694",0.412393049421161,0.309958735506241
"2695",0.412393049421161,0.309958735506241
"2696",0.19047619047619,0.664583333333333
"2697",0.0952380952380952,0.840128968253968
"2700",0.357142857142857,0.389384920634921
"2701",0.238095238095238,0.582142857142857
"2702",0.238095238095238,0.582142857142857
"2703",-0.261904761904762,0.53640873015873
"2704",-0.547619047619048,0.170982142857143
"2705",0.0476190476190476,0.934871031746032
"2708",0.285714285714286,0.500793650793651
"2709",-0.0311739843194275,0.941586637631995
"2710",0.214285714285714,0.619097222222222
"2711",0.428571428571429,0.299206349206349
"2712",0.214285714285714,0.619097222222222
"2714",0.523809523809524,0.196626984126984
"2716",-0.19047619047619,0.664583333333333
"2717",-0.0311739843194275,0.941586637631995
"2718",0.0714285714285714,0.881994047619048
"2719",0.0476190476190476,0.934871031746032
"2720",0.0476190476190476,0.934871031746032
"2722",0.166666666666667,0.703323412698413
"2723",0.30952380952381,0.461805555555556
"2725",-0.547619047619048,0.170982142857143
"2726",0.0238095238095238,0.976785714285714
"2727",-0.0311739843194275,0.941586637631995
"2728",0.0714285714285714,0.881994047619048
"2729",0.452380952380952,0.267460317460317
"2732",0.30952380952381,0.461805555555556
"2734",0.214285714285714,0.619097222222222
"2735",0.666666666666667,0.0830853174603175
"2736",-0.0311739843194275,0.941586637631995
"2737",0.268372520060847,0.520440977682338
"2740",0.714285714285714,0.0575892857142857
"2743",0.0476190476190476,0.934871031746032
"2745",-0.0476190476190476,0.934871031746032
"2746",0.412393049421161,0.309958735506241
"2750",-0.0311739843194275,0.941586637631995
"2751",0.0818317088384971,0.847249145102879
"2753",0.412393049421161,0.309958735506241
"2754",0.412393049421161,0.309958735506241
"2756",-0.476190476190476,0.243055555555556
"2758",-0.738095238095238,0.0458333333333333
"2759",-0.666666666666667,0.0830853174603175
"2760",-0.5,0.216170634920635
"2761",-0.666666666666667,0.0830853174603175
"2762",-0.261904761904762,0.53640873015873
"2763",-0.476190476190476,0.243055555555556
"2764",-0.214285714285714,0.619097222222222
"2765",-0.80952380952381,0.0217757936507936
"2766",-0.333333333333333,0.427876984126984
"2767",-0.547619047619048,0.170982142857143
"2768",-0.380952380952381,0.359871031746032
"2769",-0.452380952380952,0.267460317460317
"2770",-0.357142857142857,0.389384920634921
"2771",-0.272772362794991,0.513354990702716
"2772",-0.476190476190476,0.243055555555556
"2773",-0.452380952380952,0.267460317460317
"2774",-0.214285714285714,0.619097222222222
