"","Feature","Comp1_Loading","Comp2_Loading"
"x279","298.97287_0.8883",0.000415617449335289,0.00060787286584465
"x280","233.94645_0.8902",0.000818579404461522,0.00218065984763845
"x281","273.02234_0.8921",0.000427484087494878,-0.00206173024936598
"x282","244.96223_0.8928",0.000800078093308413,0.00416359375738003
"x283","173.10393_0.65",0.000185759351144518,0.000764341226612414
"x284","200.97147_0.8853",-0.000151751724238511,8.55198745173871e-05
"x285","216.94397_0.8973",0.000827785918339604,-0.00163566584441557
"x286","261.94124_0.8973",-0.000101626931396728,0.00244976863613563
"x287","199.94144_0.8973",7.90743860184357e-05,7.12698700913083e-05
"x288","185.05634_0.9045",-9.82177545219103e-05,0.000833881494519923
"x289","289.93628_0.894",-0.00333911466242578,0.00388678139642269
"x290","236.00438_0.7031",-7.44449592245906e-05,0.00360700191931092
"x291","164.07139_0.9178",0.000669621248960382,0.000724455404216587
"x292","230.06659_0.9204",0.000782123913031963,-0.000339009793422988
"x293","347.09793_0.9296",0.000359509664935829,-0.00023317118993008
"x294","142.05063_0.9611",0.00141621747760849,-0.00209842654010246
"x295","112.98778_0.6923",-0.00112129995778708,0.00334291913964935
"x296","161.96177_0.9417",-0.000206839114566153,0.000714763643996259
"x297","305.96762_0.9386",0.000340711695885572,-8.59491843124292e-05
"x298","207.05065_0.9443",0.000698392677474514,-0.000299231586136134
"x299","147.02958_0.8243",0.00120687737717631,-0.00343232632555948
"x300","182.01254_0.9477",0.00205751453503541,0.00138898109413883
"x301","190.03534_0.9502",0.000819661465452163,-0.000990853156024095
"x302","258.03791_0.9631",-1.79535075415802e-05,-0.000152495829634101
"x303","159.97893_0.7961",-0.000423801896262625,0.000161711535963754
"x304","172.02488_0.7094",0.000278335164555508,-0.000277562284469976
"x305","188.09246_0.9714",0.000322054248558052,-0.000376693309610405
"x306","262.0927_0.7727",0.000767283842254751,-0.00092670122830999
"x307","111.00855_0.6894",-0.000684756289025586,0.00337207436826644
"x308","211.0711_0.8358",0.000203596524961335,0.000346944633150501
"x309","242.05132_0.6576",0.00215931888880596,-0.0066691972571999
"x310","255.09827_0.9998",0.000806269810120541,-0.000977779391355505
"x311","306.08287_0.8283",0.00236875447544,-0.00276144181150444
"x312","258.0614_1.0084",0.000335518473106397,-6.15760730100616e-05
"x313","325.05947_0.9973",1.50318326674077e-05,0.000212044891850529
"x314","364.12463_1.0096",0.00113436638195028,-0.0010882820522939
"x315","388.11724_0.7419",0.0267354199141726,-0.0160380016416146
"x316","404.10374_0.6507",-0.000373498975131907,-0.061061182601178
"x317","277.97248_0.7662",0.00169576683891287,-0.00101120728431373
"x318","145.06153_0.7738",-0.00256325658783616,0.0374343682599484
"x319","341.10833_0.8036",-0.0411785912273446,0.0221924815829018
"x320","342.11164_0.6972",0.0207522387591238,-0.0253170799285371
"x321","440.02512_0.781",-0.000290980409415691,0.00370173969387617
"x322","323.97797_0.668",0.00362543368508709,-0.00887545250157795
