feature,log2FC,padj,Expression
389.11859_0.6513,0.021897618712104508,0.9740906262867312,Not significant
446.15071_0.6513,0.6473652537905826,0.5065252503601859,Not significant
377.08497_0.6518,-0.6863970218726688,0.07372522852775873,Not significant
439.08518_0.6518,0.18133398001375559,0.6267455740008658,Not significant
460.16661_0.6531,0.46288297746875823,0.5840283160082949,Not significant
471.07523_0.6535,-0.15303171137937677,0.5494021768884055,Not significant
114.05577_0.6388,7.163592288614869,0.4420185459612871,Not significant
143.03462_0.6547,1.3239311052079779,0.4759007044236937,Not significant
574.08268_0.6552,0.47468706864166615,0.6372828036785316,Not significant
181.07134_0.6543,-1.7136092819888147,0.47571357941569087,Not significant
455.1014_0.6559,-0.24260861687966323,0.48435662402613505,Not significant
161.04515_0.6564,1.2412343493199143,0.4687304567022668,Not significant
179.05564_0.6564,1.0446891395729752,0.4688305657332248,Not significant
215.03231_0.6564,0.655212490021306,0.6605143467386908,Not significant
113.0242_0.6571,1.273482751162808,0.4726706769596044,Not significant
101.02417_0.6576,1.159632159538786,0.4662386727209011,Not significant
412.03015_0.6586,1.8147375692990804,0.46699146416550463,Not significant
440.02508_0.6607,-0.5134624997569761,0.02061969355016577,Not significant
242.07891_0.6798,1.3459661673767198,0.07032485204362746,Not significant
308.09804_0.6712,3.448661577785722,0.4420185459612871,Not significant
297.1185_0.6647,0.12164146579605702,0.4420185459612871,Not significant
367.10454_0.6647,0.8401247380542114,0.5156517058555413,Not significant
277.97247_0.6658,0.21011394124236774,0.6069995422051908,Not significant
228.03599_0.6391,5.0830733344615115,0.4396089045725939,Not significant
261.97803_0.6671,1.0535718632222857,0.38844199350841674,Not significant
515.12446_0.6798,-0.39216048920656216,0.03520345501358096,Not significant
167.02062_0.6798,0.996417568925139,4.5066340565734107e-4,Not significant
195.05053_0.6829,0.7222089343969842,0.07994976247500177,Not significant
175.02436_0.687,-0.1524401843069231,0.3165452137930125,Not significant
149.04512_0.6876,0.5086670618789412,0.34508526933938327,Not significant
209.06623_0.6876,0.3595408860755036,0.33269812610186345,Not significant
267.07173_0.8085,0.6190740915403583,0.43261399154420455,Not significant
191.01935_0.6994,-0.2768529646369938,0.5915972467392402,Not significant
145.01392_0.6887,0.305873260740989,0.007410635299725567,Not significant
129.01909_0.6888,0.014119405122998082,0.9127397635804329,Not significant
165.04002_0.6888,0.43056885873952216,0.2279686399656025,Not significant
135.02961_0.6888,1.2125375117388626,0.31830398319765324,Not significant
219.01417_0.6899,-0.011783654423008015,0.9240044750371538,Not significant
133.01394_0.8668,0.6190334213909229,0.4420185459612871,Not significant
254.01493_0.7102,-0.17854289513961685,0.4701903852170286,Not significant
183.01547_0.6895,1.1323235305883577,3.9303108768758084e-4,Up-regulated
173.04505_0.6888,-0.11586025346314663,0.4420185459612871,Not significant
173.00869_0.6923,-0.15620863269354288,0.19221326615142031,Not significant
228.99296_0.6922,-0.9845644853824674,8.196320472769461e-4,Not significant
226.99604_0.6911,-0.8542190486344952,6.231637951586547e-4,Not significant
203.00446_0.6922,1.4907094428439045,0.1446193928411301,Not significant
435.95743_0.6911,-0.45886478534154435,0.11251819735593885,Not significant
205.03491_0.6929,0.2009984345902397,0.12308028025690129,Not significant
290.94485_0.6888,0.14222450236127784,0.5908068766688928,Not significant
163.0245_0.7313,-0.5086402539168271,0.29126747184316376,Not significant
