feature,log2FC,padj,Expression
176.83599_1.1981,-0.37260564666232676,0.8978750986808667,Not significant
230.01948_1.2055,-0.5062233485982269,0.0036691047948830178,Not significant
174.06481_1.2061,-0.5816543150364701,0.001073415505044339,Not significant
344.92806_1.2073,-0.4008982558987002,0.021378282170091214,Not significant
171.98795_1.2061,-0.5747543521330161,0.004999639730615498,Not significant
232.01679_1.2018,-0.12472694170607236,0.22907092471421278,Not significant
441.68016_1.2023,0.06809659266458797,0.7088924718828387,Not significant
443.6772_1.2042,0.06095685711846035,0.7444104878374199,Not significant
332.90248_1.1993,-0.21587987414699647,0.6278132350717709,Not significant
445.67422_1.203,0.08809585401978474,0.7088924718828387,Not significant
342.93108_1.2086,-0.41544027920468585,0.001502143819702756,Not significant
336.89648_1.2018,-0.4145027202834117,0.27506991459322444,Not significant
411.65198_1.2086,0.37858234625350246,0.09183136581868225,Not significant
