Feature,Comp1_Loading,Comp2_Loading
322.09279_1.0942,7.034444526974956e-4,-3.085447598523258e-4
273.03769_1.1002,9.324760378263623e-4,-9.827204862336953e-4
147.06597_1.1099,2.466375400193283e-4,1.767355553571892e-4
215.93619_1.0096,5.785568349750794e-5,-2.4775408436542316e-4
303.9519_0.8433,4.5462111241906846e-4,-0.001386033149350881
252.99611_1.1335,0.009182669898449096,-0.039984996627308714
343.95969_1.1278,4.4829563668456616e-4,0.0010178484734097645
259.02177_1.1283,-0.010438624635110328,0.0029986057675706976
317.05422_1.1284,0.0014800325882050078,-6.41464930741662e-4
245.04265_1.1303,0.038102470873938574,-0.04119210105344391
417.94709_1.1316,0.003991214138919325,-0.009982003261386327
214.9285_1.1309,0.009328012053475847,-0.018674844307346384
445.94189_1.1309,0.0030589907092914794,-0.007825108204808258
301.93638_1.1309,3.6832182009199736e-4,-0.0020344236842663064
313.93676_1.1315,0.002066067960278237,-0.006560752568670913
218.10291_1.1315,0.0022770414243485576,-0.002242096204100685
368.99434_1.1328,9.291484234152823e-4,-0.0023828326574289955
228.98359_1.1298,-1.963694081189423e-4,-9.954334043104595e-5
199.9809_1.131,-4.886773125854481e-4,-2.514298900570338e-4
375.93652_1.1321,0.0011121196880423496,-0.0063590047684740246
347.94158_1.1322,0.002134204436557802,-0.011189003845537799
170.93862_1.1328,0.002277691011718741,-0.004227730692719825
314.96668_1.1328,-3.365787080600804e-4,-0.0019737346883728054
212.98021_1.1328,9.882102568678126e-4,-0.004142712907268742
231.01416_1.1328,0.02003847770000898,-0.04556297427939268
117.00761_1.1334,0.0014057024990335044,-0.0035104250932335617
384.972_1.1328,2.449848341967767e-4,-0.002987109461330096
275.15098_1.1379,0.0022537860978406525,-4.88881378689897e-4
376.85307_1.1298,-4.6980734448005465e-5,7.468238404790691e-4
234.9621_1.1341,-6.960896320994347e-5,-0.0018371725708010908
515.94715_1.1329,0.0018887064294557695,-0.0038461811380436288
330.93904_1.1334,1.563773598301624e-4,-0.0027788576231333423
215.92794_1.1334,8.560435355660312e-4,-0.0015802737693152128
115.00346_1.1347,0.1620149760436979,-0.406257827343124
400.9442_1.1322,9.333684353236109e-4,-0.003572562814917929
244.96122_1.1288,-9.753198806581086e-4,8.709588229677361e-4
331.85584_1.1348,-2.4165980661679918e-4,1.401928114251588e-4
