ID1,ID2,EdgeType,Score,Annotation
1767,5861,DreaMS,0.106,score=0.106
5572,10915,DreaMS,0.346,score=0.346
1098,2336,DreaMS,0.244,score=0.244
6088,15718,DreaMS,0.053,score=0.053
3005,5668,DreaMS,0.299,score=0.299
5663,5819,DreaMS,0.510,score=0.510
3006,5667,DreaMS,0.179,score=0.179
2463,17733,DreaMS,0.293,score=0.293
2534,2786,DreaMS,0.387,score=0.387
1002,5614,DreaMS,0.328,score=0.328
1836,11217,DreaMS,0.148,score=0.148
2516,3733,DreaMS,0.435,score=0.435
2527,2793,DreaMS,0.320,score=0.320
4590,5572,DreaMS,0.340,score=0.340
3974,4714,DreaMS,0.243,score=0.243
1077,14778,DreaMS,0.196,score=0.196
3385,4139,DreaMS,0.364,score=0.364
352,3005,DreaMS,0.443,score=0.443
331,2947,DreaMS,0.443,score=0.443
795,4221,DreaMS,0.166,score=0.166
2216,13950,DreaMS,0.136,score=0.136
692,15835,DreaMS,0.223,score=0.223
2796,3196,DreaMS,0.287,score=0.287
5819,14788,DreaMS,0.180,score=0.180
730,4415,DreaMS,0.269,score=0.269
3295,3743,DreaMS,0.340,score=0.340
11217,12748,DreaMS,0.271,score=0.271
3876,4812,DreaMS,0.120,score=0.120
1561,4047,DreaMS,0.146,score=0.146
288,2516,DreaMS,0.183,score=0.183
288,3332,DreaMS,0.308,score=0.308
4665,5497,DreaMS,0.287,score=0.287
5742,5865,DreaMS,0.069,score=0.069
5609,6088,DreaMS,0.339,score=0.339
2585,3768,DreaMS,0.319,score=0.319
3261,4587,DreaMS,0.262,score=0.262
2595,4158,DreaMS,0.334,score=0.334
3636,4128,DreaMS,0.379,score=0.379
1542,4066,DreaMS,0.095,score=0.095
2474,5572,DreaMS,0.231,score=0.231
1032,14823,DreaMS,0.234,score=0.234
5750,5857,DreaMS,0.232,score=0.232
2699,11935,DreaMS,0.125,score=0.125
2520,4810,DreaMS,0.051,score=0.051
3472,14788,DreaMS,0.082,score=0.082
5861,7391,DreaMS,0.078,score=0.078
1375,4916,DreaMS,0.220,score=0.220
2396,4415,DreaMS,0.239,score=0.239
4523,5818,DreaMS,0.198,score=0.198
5407,9607,DreaMS,0.173,score=0.173
2585,3664,DreaMS,0.306,score=0.306
2958,2968,DreaMS,0.389,score=0.389
3268,3770,DreaMS,0.127,score=0.127
6114,16425,DreaMS,0.161,score=0.161
2779,5348,DreaMS,0.375,score=0.375
4048,5773,DreaMS,0.186,score=0.186
4916,5663,DreaMS,0.212,score=0.212
5545,5937,DreaMS,0.533,score=0.533
5375,5818,DreaMS,0.103,score=0.103
2021,3587,DreaMS,0.168,score=0.168
2184,7270,DreaMS,0.049,score=0.049
4874,14007,DreaMS,0.405,score=0.405
8716,15838,DreaMS,0.462,score=0.462
2100,4711,DreaMS,0.163,score=0.163
3634,3767,DreaMS,0.251,score=0.251
2100,4128,DreaMS,0.190,score=0.190
771,12852,DreaMS,0.069,score=0.069
3856,6058,DreaMS,0.166,score=0.166
2947,17086,DreaMS,0.154,score=0.154
5566,5916,DreaMS,0.312,score=0.312
140,5742,DreaMS,0.337,score=0.337
1032,3342,DreaMS,0.132,score=0.132
1331,6088,DreaMS,0.074,score=0.074
1767,2516,DreaMS,0.249,score=0.249
566,3196,DreaMS,0.090,score=0.090
1042,3332,DreaMS,0.237,score=0.237
